Categ;TípoProd;CodProd;DescProd;TipoGen;Caract
CE;ALMACENAMIENTO;1597889;ALMACENAMIENTO: 4 TB SSD;ALMACENAMIENTO;4 TB SSD
CE;RAM;2813942;RAM: 48 GB DDR5 4800 MHz;RAM;48 GB DDR5 4800 MHz
CE;G. F;1598021;G. F: 48 MESES CARRY-IN;G. F;48 MESES CARRY-IN
CE;G. F;1598020;G. F: 48 MESES ON-SITE;G. F;48 MESES ON-SITE
CE;ALMACENAMIENTO;1597936;ALMACENAMIENTO: 480 GB M.2 SSD;ALMACENAMIENTO;480 GB M.2 SSD
CE;ALMACENAMIENTO;1597052;ALMACENAMIENTO: 480 GB M.2 SSD;ALMACENAMIENTO;480 GB M.2 SSD
CE;ALMACENAMIENTO;1597935;ALMACENAMIENTO: 480 GB M.2 SSD NVMe;ALMACENAMIENTO;480 GB M.2 SSD NVMe
CE;ALMACENAMIENTO;1597051;ALMACENAMIENTO: 480 GB M.2 SSD NVMe;ALMACENAMIENTO;480 GB M.2 SSD NVMe
CE;ALMACENAMIENTO;1597938;ALMACENAMIENTO: 480 GB M.2 SSD NVMe/ 1 TB HDD 5400 RPM;ALMACENAMIENTO;480 GB M.2 SSD NVMe/ 1 TB HDD 5400 RPM
CE;ALMACENAMIENTO;1597942;ALMACENAMIENTO: 480 GB M.2 SSD NVMe/ 2 TB HDD 5400 RPM;ALMACENAMIENTO;480 GB M.2 SSD NVMe/ 2 TB HDD 5400 RPM
CE;ALMACENAMIENTO;1597927;ALMACENAMIENTO: 480 GB M.2 SSD NVMe/ 960 GB M.2 SSD NVMe;ALMACENAMIENTO;480 GB M.2 SSD NVMe/ 960 GB M.2 SSD NVMe
CE;ALMACENAMIENTO;1597931;ALMACENAMIENTO: 480 GB M.2 SSD/ 1 TB HDD 7200 RPM;ALMACENAMIENTO;480 GB M.2 SSD/ 1 TB HDD 7200 RPM
CE;ALMACENAMIENTO;1597845;ALMACENAMIENTO: 480 GB SSD;ALMACENAMIENTO;480 GB SSD
CE;ALMACENAMIENTO;1597872;ALMACENAMIENTO: 480 GB SSD/1 TB HDD 7200 RPM;ALMACENAMIENTO;480 GB SSD/1 TB HDD 7200 RPM
CE;ALMACENAMIENTO;1597853;ALMACENAMIENTO: 480 GB SSD/2 TB HDD 5400 RPM;ALMACENAMIENTO;480 GB SSD/2 TB HDD 5400 RPM
