"Categ";"CodCaract";"Caract";"CodValCaract";"ValCaract"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597547;"PROCESADOR: INTEL PENTIUM G4400"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597548;"PROCESADOR: INTEL CORE I5-4570"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597549;"PROCESADOR: INTEL XEON E5-1620 V3"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597550;"PROCESADOR: INTEL PENTIUM G2030"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597551;"PROCESADOR: INTEL CORE I7-5960X"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597552;"PROCESADOR: INTEL CELERON J1900"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597553;"PROCESADOR: AMD A10-7860K"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597554;"PROCESADOR: INTEL CORE I7-5820K"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597555;"PROCESADOR: INTEL CORE I5-4670"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597556;"PROCESADOR: INTEL CORE I5-3470"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597557;"PROCESADOR: INTEL CELERON G1850"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597558;"PROCESADOR: INTEL CORE I3-5010U"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597559;"PROCESADOR: INTEL CELERON J2900"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597560;"PROCESADOR: AMD A8-7650K"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597561;"PROCESADOR: INTEL XEON E3-1231 V3"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597562;"PROCESADOR: AMD FX-6300"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597563;"PROCESADOR: INTEL CORE I7-7700K"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597564;"PROCESADOR: INTEL CORE I5-4670K"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597567;"PROCESADOR: INTEL CORE I7-6700"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597568;"PROCESADOR: INTEL CORE I3-4160"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597569;"PROCESADOR: INTEL CORE I7-5930K"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597570;"PROCESADOR: AMD SEMPRON 3850"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597571;"PROCESADOR: INTEL XEON E3-1280 V3"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597572;"PROCESADOR: INTEL CORE I5-4690K"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597573;"PROCESADOR: INTEL CORE I5-6600"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597575;"PROCESADOR: AMD RYZEN 7 3700X"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597576;"PROCESADOR: AMD RYZEN 5 3400G"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597577;"PROCESADOR: AMD RYZEN 5 3600X"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597578;"PROCESADOR: AMD RYZEN 9 3900X"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597579;"PROCESADOR: AMD RYZEN 3 3200G"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597580;"PROCESADOR: INTEL CORE I7-9750H"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597581;"PROCESADOR: INTEL CORE I5-9300H"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597582;"PROCESADOR INTEL CORE I9-9980HK"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597583;"PROCESADOR: INTEL CORE I9-9900X"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597584;"PROCESADOR: INTEL CORE I3-9100F"
