"id";"CorrBas36";"CodigoCorrelativo";"Categ";"CodCaract";"Caract";"CodValCaract";"ValCaract";"CleanValCaract";"Serializd";"PreTextValOnly";"ValueOnly"
71;"1Z";"000000001Z";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26932;"EMPAQUE_DE_FABRICA";1720669;"EMPAQUE: OTRO";"EMPAQUE: OTRO";"EMPAQUE: OTRO";"EMPAQUE";"OTRO"
72;"20";"0000000020";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26934;"COMPONENTES_Y_ACCESORIOS";1720481;"COMPONENTES Y ACCESORIOS: SI INCLUYE";"COMPONENTES Y ACCESORIOS: SI INCLUYE";"COMPONENTES Y ACCESORIOS: SI INCLUYE";"COMPONENTES Y ACCESORIOS";"SI INCLUYE"
73;"21";"0000000021";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26934;"COMPONENTES_Y_ACCESORIOS";1720482;"COMPONENTES Y ACCESORIOS: NO INCLUYE";"COMPONENTES Y ACCESORIOS: NO INCLUYE";"COMPONENTES Y ACCESORIOS: NO INCLUYE";"COMPONENTES Y ACCESORIOS";"NO INCLUYE"
74;"22";"0000000022";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26933;"CERTIFICADOS";1717951;"CERTIFICACION: CE";"CERTIFICACION: CE";"CERTIFICACION: CE";"CERTIFICACION";"CE"
75;"23";"0000000023";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26933;"CERTIFICADOS";1717950;"CERTIFICACION: FCC";"CERTIFICACION: FCC";"CERTIFICACION: FCC";"CERTIFICACION";"FCC"
76;"24";"0000000024";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26933;"CERTIFICADOS";1717953;"CERTIFICACION: KCC";"CERTIFICACION: KCC";"CERTIFICACION: KCC";"CERTIFICACION";"KCC"
77;"25";"0000000025";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26933;"CERTIFICADOS";1717948;"CERTIFICACION: ROHS";"CERTIFICACION: ROHS";"CERTIFICACION: ROHS";"CERTIFICACION";"ROHS"
78;"26";"0000000026";"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1740437;"PROCESADOR: INTEL CORE I3-13100";"PROCESADOR: INTEL CORE I3-13100";"PROCESADOR: INTEL CORE I3-13100";"PROCESADOR";"INTEL CORE I3-13100"
79;"27";"0000000027";"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1740443;"PROCESADOR: INTEL CORE I7-13700";"PROCESADOR: INTEL CORE I7-13700";"PROCESADOR: INTEL CORE I7-13700";"PROCESADOR";"INTEL CORE I7-13700"
80;"28";"0000000028";"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1740440;"PROCESADOR: INTEL CORE I5-13400F";"PROCESADOR: INTEL CORE I5-13400F";"PROCESADOR: INTEL CORE I5-13400F";"PROCESADOR";"INTEL CORE I5-13400F"
81;"29";"0000000029";"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1740444;"PROCESADOR: INTEL CORE I7-13700F";"PROCESADOR: INTEL CORE I7-13700F";"PROCESADOR: INTEL CORE I7-13700F";"PROCESADOR";"INTEL CORE I7-13700F"
82;"2A";"000000002A";"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1740445;"PROCESADOR: INTEL CORE I9-13900KF";"PROCESADOR: INTEL CORE I9-13900KF";"PROCESADOR: INTEL CORE I9-13900KF";"PROCESADOR";"INTEL CORE I9-13900KF"
